Location;Spp;FG;d13C;d15N
IP;rockhopper_deseado;rockhopper_deseado;-17.38;18.33
IP;rockhopper_deseado;rockhopper_deseado;-16.94;18.92
IP;rockhopper_deseado;rockhopper_deseado;-19.16;18.22
IP;rockhopper_deseado;rockhopper_deseado;-17.87;17.4
IP;rockhopper_deseado;rockhopper_deseado;-17.76;16.97
IP;rockhopper_deseado;rockhopper_deseado;-17.74;17.78
IP;rockhopper_deseado;rockhopper_deseado;-17.56;17.76
IP;rockhopper_deseado;rockhopper_deseado;-18.89;17.03
IP;rockhopper_deseado;rockhopper_deseado;-17.77;18.34
IP;rockhopper_deseado;rockhopper_deseado;-15.91;18.21
IP;rockhopper_deseado;rockhopper_deseado;-18.87;15.95
IP;rockhopper_deseado;rockhopper_deseado;-18.1;17.62
IP;rockhopper_deseado;rockhopper_deseado;-17.31;17.88
shelf;Euphausia lucens;shelf;-18.86321667;11.79086288
shelf;Euphausia lucens;shelf;-22.51522932;10.91219735
shelf;Euphausia lucens;shelf;-19.00164824;7.760898096
shelf;Euphausia lucens;shelf;-19.20765931;6.239574196
shelf;Euphausia lucens;shelf;-20.38267204;8.46389235
shelf;Euphausia lucens;shelf;-19.914978;6.967421396
shelf;Euphausia lucens;shelf;-20.63635984;7.23016405
malvinas;Themisto gaudichaudi;malvinas;-17.3;10.7
malvinas;Euphausia lucens;malvinas;-19;10.3
malvinas;Thysanoessa macrura;malvinas;-19;10.7
malvinas;Thysanoessa macrura;malvinas;-18.99;10.74
malvinas;Euphausia lucens;malvinas;-19;10.28
malvinas;Themisto gaudichaudii;malvinas;-17.21;11.04
malvinas;Themisto gaudichaudii;malvinas;-17.36;10.3
