Location;Spp;FG;d13C;d15N
Franklin;rockhopper_franklin;rockhopper_franklin;-22.79;11.46
Franklin;rockhopper_franklin;rockhopper_franklin;-21.15;12.37
Franklin;rockhopper_franklin;rockhopper_franklin;-22.32;11.8
Franklin;rockhopper_franklin;rockhopper_franklin;-20.63;12.21
Franklin;rockhopper_franklin;rockhopper_franklin;-22.26;10.77
Franklin;rockhopper_franklin;rockhopper_franklin;-23.07;10.56
Franklin;rockhopper_franklin;rockhopper_franklin;-21.8;11.39
Franklin;rockhopper_franklin;rockhopper_franklin;-22.88;11.33
Franklin;rockhopper_franklin;rockhopper_franklin;-21.57;12.03
Franklin;rockhopper_franklin;rockhopper_franklin;-22.32;10.69
Franklin;rockhopper_franklin;rockhopper_franklin;-22.95;10.55
Franklin;rockhopper_franklin;rockhopper_franklin;-21.41;11.17
Franklin;rockhopper_franklin;rockhopper_franklin;-21.69;11.56
Franklin;rockhopper_franklin;rockhopper_franklin;-22.66;11
Franklin;rockhopper_franklin;rockhopper_franklin;-21.71;11.8
Franklin;rockhopper_franklin;rockhopper_franklin;-21.86;11.63
Franklin;rockhopper_franklin;rockhopper_franklin;-21.7;10.97
Franklin;rockhopper_franklin;rockhopper_franklin;-22.65;10.68
Franklin;rockhopper_franklin;rockhopper_franklin;-20.81;12.83
Franklin;rockhopper_franklin;rockhopper_franklin;-21.75;11.36
Franklin;rockhopper_franklin;rockhopper_franklin;-23.16;10.94
Franklin;rockhopper_franklin;rockhopper_franklin;-20.99;11.92
Franklin;rockhopper_franklin;rockhopper_franklin;-22.52;10.88
San Juan;rockhopper_san_juan;rockhopper_san_juan;-23.37;10.39
San Juan;rockhopper_san_juan;rockhopper_san_juan;-22.41;10.85
San Juan;rockhopper_san_juan;rockhopper_san_juan;-23.24;10.12
San Juan;rockhopper_san_juan;rockhopper_san_juan;-22.89;9.96
San Juan;rockhopper_san_juan;rockhopper_san_juan;-17.92;14.41
San Juan;rockhopper_san_juan;rockhopper_san_juan;-20.71;12.42
San Juan;rockhopper_san_juan;rockhopper_san_juan;-22.85;10.51
San Juan;rockhopper_san_juan;rockhopper_san_juan;-22.53;9.95
San Juan;rockhopper_san_juan;rockhopper_san_juan;-22.94;10.83
San Juan;rockhopper_san_juan;rockhopper_san_juan;-23.12;11.29
San Juan;rockhopper_san_juan;rockhopper_san_juan;-23.23;10.59
San Juan;rockhopper_san_juan;rockhopper_san_juan;-20.99;11.88
San Juan;rockhopper_san_juan;rockhopper_san_juan;-21.9;10.54
San Juan;rockhopper_san_juan;rockhopper_san_juan;-22.63;10.4
San Juan;rockhopper_san_juan;rockhopper_san_juan;-22.99;11.15
San Juan;rockhopper_san_juan;rockhopper_san_juan;-23.1;10.4
San Juan;rockhopper_san_juan;rockhopper_san_juan;-21.98;10.64
San Juan;rockhopper_san_juan;rockhopper_san_juan;-22.68;10.51
burdwood;copepodos;burdwood;-26.2217035;2.886187723
burdwood;copepodos;burdwood;-25.2491838;5.522844821
burdwood;copepodos;burdwood;-25.67636535;4.098110823
burdwood;copepodos;burdwood;-26.94877766;3.766367654
burdwood;copepodos;burdwood;-27.91014392;3.528309844
burdwood;copepodos;burdwood;-28.36970917;3.544313731
burdwood;copepodos;burdwood;-30.80631005;4.525552013
burdwood;copepodos;burdwood;-28.38378776;3.383274624
burdwood;copepodos;burdwood;-25.69454329;2.513518872
burdwood;copepodos;burdwood;-25.99447927;4.672600338
burdwood;copepodos;burdwood;-26.73674509;3.812364733
burdwood;copepodos;burdwood;-23.02945554;3.5885636
burdwood;copepodos;burdwood;-26.43882888;1.813141219
burdwood;copepodos;burdwood;-26.47815067;2.721113826
burdwood;copepodos;burdwood;-25.16884223;4.17246627
burdwood;copepodos;burdwood;-29.25364321;4.393519951
burdwood;copepodos;burdwood;-27.03827724;4.407523351
burdwood;Euphausids;burdwood;-25.62006673;5.821993759
burdwood;Euphausids;burdwood;-25.11560609;6.851544941
burdwood;Euphausids;burdwood;-23.77676752;5.372753253
burdwood;Euphausids;burdwood;-25.65437006;4.084063338
burdwood;Euphausids;burdwood;-24.74734981;5.033571668
burdwood;Euphausids;burdwood;-27.43309831;5.493818066
burdwood;Euphausids;burdwood;-23.68899137;7.49789097
burdwood;Euphausids;burdwood;-27.61974875;6.903572795
burdwood;Euphausids;burdwood;-23.8564723;6.850544405
burdwood;Euphausids;burdwood;-24.3311664;5.519793453
burdwood;Euphausids;burdwood;-23.05906565;5.589810456
burdwood;Euphausids;burdwood;-26.40071845;5.420769406
burdwood;Euphausids;burdwood;-24.771625;5.374758233
burdwood;Euphausids;burdwood;-24.860349;5.371752717
burdwood;Euphausids;burdwood;-25.6563879;3.435716237
burdwood;Euphausids;burdwood;-25.62006673;3.653833009
burdwood;Euphausids;burdwood;-26.16992884;6.628425491
burdwood;Euphausids;burdwood;-25.14082912;5.647900556
burdwood;Euphausids;burdwood;-24.18336281;6.30925462
burdwood;Themisto_gaudichaudii;burdwood;-26.92240049;6.196167481
burdwood;Themisto_gaudichaudii;burdwood;-25.09164166;5.700686793
burdwood;Themisto_gaudichaudii;burdwood;-25.4784278;5.125198165
burdwood;Themisto_gaudichaudii;burdwood;-25.23605528;5.063253209
burdwood;Themisto_gaudichaudii;burdwood;-26.13384347;6.317139021
burdwood;Themisto_gaudichaudii;burdwood;-26.06012183;6.935589473
burdwood;Themisto_gaudichaudii;burdwood;-26.7569428;6.925598351
burdwood;Themisto_gaudichaudii;burdwood;-24.7694882;6.782725307
burdwood;Themisto_gaudichaudii;burdwood;-26.29643503;5.353994859
burdwood;Themisto_gaudichaudii;burdwood;-25.33877369;5.771607035
burdwood;Themisto_gaudichaudii;burdwood;-27.94197265;6.052966351
burdwood;Themisto_gaudichaudii;burdwood;-23.54702166;4.36759921
burdwood;Themisto_gaudichaudii;burdwood;-25.64909844;2.316693768
burdwood;Themisto_gaudichaudii;burdwood;-25.47741791;4.09711171
burdwood;Themisto_gaudichaudii;burdwood;-23.27935283;7.068991886
burdwood;Themisto_gaudichaudii;burdwood;-25.58850531;5.381970001
burdwood;Themisto_gaudichaudii;burdwood;-26.54688662;6.351108836
burdwood;Themisto_gaudichaudii;burdwood;-25.28049025;5.185144897
idle;copepodos;idle;-25.41521747;2.482055774
idle;copepodos;idle;-25.84360871;3.517307173
idle;eufausidos;idle;-23.1693969;4.519296345
idle;eufausidos;idle;-23.06245124;7.859084339
idle;Themisto_gaudichaudii;idle;-24.07165734;5.117205268
idle;copepodos;idle;-17.31653345;4.889407686
idle;copepodos;idle;-22.8881114;7.755336329
idle;Euphausids;idle;-21.99512684;6.548043152
idle;Euphausids;idle;-22.42380406;8.951669267
idle;Themisto_gaudichaudii;idle;-22.11901556;8.731728742
idle;Themisto_gaudichaudii;idle;-21.96572677;8.76076953
