Location;Spp;FG;d13C;d15N
IMGJ;rockhopper_grand_jason;rockhopper_grand_jason;-19.36;15.21
IMGJ;rockhopper_grand_jason;rockhopper_grand_jason;-19.51;15.67
IMGJ;rockhopper_grand_jason;rockhopper_grand_jason;-17.66;16.34
IMGJ;rockhopper_grand_jason;rockhopper_grand_jason;-18.9;15.41
IMGJ;rockhopper_grand_jason;rockhopper_grand_jason;-19.37;16.2
IMGJ;rockhopper_grand_jason;rockhopper_grand_jason;-22.54;11.28
IMGJ;rockhopper_grand_jason;rockhopper_grand_jason;-18.67;15.32
IMRV;rockhopper_rookey_valley;rockhopper_rookey_valley;-20.05;11.07
IMRV;rockhopper_rookey_valley;rockhopper_rookey_valley;-18.83;11.5
IMRV;rockhopper_rookey_valley;rockhopper_rookey_valley;-15.68;14.6
IMRV;rockhopper_rookey_valley;rockhopper_rookey_valley;-20.97;10.53
IMRV;rockhopper_rookey_valley;rockhopper_rookey_valley;-18.87;12.47
IMRV;rockhopper_rookey_valley;rockhopper_rookey_valley;-19.06;15.19
IMSL;rockhopper_sea_lion;rockhopper_sea_lion;-21.08;11.35
IMSL;rockhopper_sea_lion;rockhopper_sea_lion;-22.2;11.53
IMSL;rockhopper_sea_lion;rockhopper_sea_lion;-18.71;13.57
IMSL;rockhopper_sea_lion;rockhopper_sea_lion;-19.06;15.5
IMSL;rockhopper_sea_lion;rockhopper_sea_lion;-20.47;11.03
malvinas;Themisto gaudichaudi;malvinas;-17.3;10.7
malvinas;Euphausia lucens;malvinas;-19;10.3
malvinas;Thysanoessa macrura;malvinas;-19;10.7
malvinas;Thysanoessa macrura;malvinas;-18.99;10.74
malvinas;Euphausia lucens;malvinas;-19;10.28
malvinas;Themisto gaudichaudii;malvinas;-17.21;11.04
malvinas;Themisto gaudichaudii;malvinas;-17.36;10.3
burdwood;copepodos;burdwood;-26.2217035;2.886187723
burdwood;copepodos;burdwood;-25.2491838;5.522844821
burdwood;copepodos;burdwood;-25.67636535;4.098110823
burdwood;copepodos;burdwood;-26.94877766;3.766367654
burdwood;copepodos;burdwood;-27.91014392;3.528309844
burdwood;copepodos;burdwood;-28.36970917;3.544313731
burdwood;copepodos;burdwood;-30.80631005;4.525552013
burdwood;copepodos;burdwood;-28.38378776;3.383274624
burdwood;copepodos;burdwood;-25.69454329;2.513518872
burdwood;copepodos;burdwood;-25.99447927;4.672600338
burdwood;copepodos;burdwood;-26.73674509;3.812364733
burdwood;copepodos;burdwood;-23.02945554;3.5885636
burdwood;copepodos;burdwood;-26.43882888;1.813141219
burdwood;copepodos;burdwood;-26.47815067;2.721113826
burdwood;copepodos;burdwood;-25.16884223;4.17246627
burdwood;copepodos;burdwood;-29.25364321;4.393519951
burdwood;copepodos;burdwood;-27.03827724;4.407523351
burdwood;Euphausids;burdwood;-25.62006673;5.821993759
burdwood;Euphausids;burdwood;-25.11560609;6.851544941
burdwood;Euphausids;burdwood;-23.77676752;5.372753253
burdwood;Euphausids;burdwood;-25.65437006;4.084063338
burdwood;Euphausids;burdwood;-24.74734981;5.033571668
burdwood;Euphausids;burdwood;-27.43309831;5.493818066
burdwood;Euphausids;burdwood;-23.68899137;7.49789097
burdwood;Euphausids;burdwood;-27.61974875;6.903572795
burdwood;Euphausids;burdwood;-23.8564723;6.850544405
burdwood;Euphausids;burdwood;-24.3311664;5.519793453
burdwood;Euphausids;burdwood;-23.05906565;5.589810456
burdwood;Euphausids;burdwood;-26.40071845;5.420769406
burdwood;Euphausids;burdwood;-24.771625;5.374758233
burdwood;Euphausids;burdwood;-24.860349;5.371752717
burdwood;Euphausids;burdwood;-25.6563879;3.435716237
burdwood;Euphausids;burdwood;-25.62006673;3.653833009
burdwood;Euphausids;burdwood;-26.16992884;6.628425491
burdwood;Euphausids;burdwood;-25.14082912;5.647900556
burdwood;Euphausids;burdwood;-24.18336281;6.30925462
burdwood;Themisto_gaudichaudii;burdwood;-26.92240049;6.196167481
burdwood;Themisto_gaudichaudii;burdwood;-25.09164166;5.700686793
burdwood;Themisto_gaudichaudii;burdwood;-25.4784278;5.125198165
burdwood;Themisto_gaudichaudii;burdwood;-25.23605528;5.063253209
burdwood;Themisto_gaudichaudii;burdwood;-26.13384347;6.317139021
burdwood;Themisto_gaudichaudii;burdwood;-26.06012183;6.935589473
burdwood;Themisto_gaudichaudii;burdwood;-26.7569428;6.925598351
burdwood;Themisto_gaudichaudii;burdwood;-24.7694882;6.782725307
burdwood;Themisto_gaudichaudii;burdwood;-26.29643503;5.353994859
burdwood;Themisto_gaudichaudii;burdwood;-25.33877369;5.771607035
burdwood;Themisto_gaudichaudii;burdwood;-27.94197265;6.052966351
burdwood;Themisto_gaudichaudii;burdwood;-23.54702166;4.36759921
burdwood;Themisto_gaudichaudii;burdwood;-25.64909844;2.316693768
burdwood;Themisto_gaudichaudii;burdwood;-25.47741791;4.09711171
burdwood;Themisto_gaudichaudii;burdwood;-23.27935283;7.068991886
burdwood;Themisto_gaudichaudii;burdwood;-25.58850531;5.381970001
burdwood;Themisto_gaudichaudii;burdwood;-26.54688662;6.351108836
burdwood;Themisto_gaudichaudii;burdwood;-25.28049025;5.185144897
